Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 218 0.308479 0.250114 0.214901 0.226507 1 
1 219 0.304912 0.25022 0.216624 0.228244 1 
1 220 0.301337 0.250315 0.218385 0.229964 1 
1 221 0.297793 0.250382 0.220173 0.231652 1 
1 222 0.294321 0.250407 0.221975 0.233297 1 
1 223 0.290959 0.250377 0.223779 0.234886 1 
1 224 0.287744 0.250284 0.225566 0.236405 1 
1 225 0.284715 0.25012 0.22732 0.237845 1 
1 226 0.281904 0.249884 0.229019 0.239193 1 
1 227 0.279343 0.249575 0.230643 0.240439 1 
1 228 0.277062 0.249196 0.232168 0.241573 1 
1 229 0.275085 0.248755 0.233574 0.242586 1 
1 230 0.273433 0.248261 0.234836 0.24347 1 
1 231 0.272124 0.247725 0.235935 0.244216 1 
1 232 0.271171 0.247162 0.236848 0.244818 1 
1 233 0.270583 0.246588 0.237558 0.245271 1 
1 234 0.270365 0.246018 0.238048 0.245569 1 
1 235 0.270517 0.245469 0.238304 0.24571 1 
1 236 0.271034 0.244958 0.238316 0.245692 1 
1 237 0.271909 0.2445 0.238078 0.245513 1 
1 238 0.27313 0.244109 0.237586 0.245174 1 
1 239 0.274681 0.243799 0.236841 0.244678 1 
1 240 0.276543 0.24358 0.235848 0.244028 1 
1 241 0.278694 0.243459 0.234617 0.24323 1 
1 242 0.281109 0.243443 0.233159 0.242288 1 
1 243 0.283762 0.243533 0.231492 0.241213 1 
1 244 0.286623 0.243731 0.229634 0.240012 1 
1 245 0.289662 0.244032 0.227609 0.238697 1 
1 246 0.292849 0.244432 0.225441 0.237278 1 
1 247 0.296151 0.244922 0.223158 0.235769 1 
1 248 0.299538 0.245492 0.220788 0.234182 1 
1 249 0.302977 0.24613 0.21836 0.232533 1 
1 250 0.306438 0.246822 0.215904 0.230835 1 
1 251 0.309892 0.247554 0.21345 0.229103 1 
1 252 0.313311 0.248309 0.211027 0.227354 1 
1 253 0.316667 0.24907 0.208662 0.225601 1 
1 254 0.319936 0.249821 0.206382 0.223861 1 
1 255 0.323094 0.250546 0.204212 0.222148 1 
1 256 0.32612 0.251228 0.202175 0.220477 1 
1 257 0.328994 0.251853 0.20029 0.218863 1 
1 258 0.331698 0.252406 0.198576 0.21732 1 
1 259 0.334217 0.252875 0.197047 0.21586 1 
1 260 0.336536 0.25325 0.195717 0.214497 1 
1 261 0.338642 0.253521 0.194595 0.213242 1 
1 262 0.340523 0.253683 0.193688 0.212106 1 
1 263 0.342169 0.253732 0.193 0.211099 1 
1 264 0.343571 0.253665 0.192533 0.210231 1 
1 265 0.344719 0.253484 0.192287 0.20951 1 
1 266 0.345608 0.253192 0.192259 0.208941 1 
1 267 0.346232 0.252796 0.192442 0.208531 1 
1 268 0.346584 0.252305 0.192829 0.208283 1 
1 269 0.346661 0.251728 0.193411 0.2082 1 
1 270 0.346462 0.25108 0.194176 0.208282 1 
1 271 0.345985 0.250374 0.195112 0.208529 1 
1 272 0.345232 0.249626 0.196203 0.208938 1 
1 273 0.344206 0.248854 0.197434 0.209506 1 
1 274 0.342913 0.248073 0.198789 0.210225 1 
1 275 0.341362 0.247301 0.20025 0.211088 1 
1 276 0.339563 0.246554 0.201798 0.212085 1 
1 277 0.337531 0.245846 0.203417 0.213206 1 
1 278 0.335283 0.245192 0.205087 0.214437 1 
1 279 0.332841 0.244602 0.206792 0.215766 1 
